Kanton	KWI	Bewertung
ZG	100	
<b>BS</b>	97.9	0
ZH	94	
AG	77.8	
SZ	77.1	
VD	75.9	
BL	74.7	
LU	74.6	
GE	72.1	
NW	70.7	
SH	69.8	
TG	66.9	
SG	66.2	
SO	62.4	
OW	62.3	
FR	60.2	
AR	59.1	
GL	58	
BE	57	
AI	56.4	
TI	53.3	
NE	53.2	
UR	51.2	
GR	46.1	
VS	42.9	
JU	33	
