	 Ja, mehrere	 Ja, vereinzelt	 Nein, keine	 Weiss nicht / keine Angabe
2015 Total	708	367	425	6
2015 Schweiz	591	336	401	5
2015 Ausland	117	31	24	1
.
2011 Total	723	378	408	7
2011 Schweiz	585	329	382	6
2011 Ausland	138	49	26	1
..
2007 Total	617	426	466	0
2007 Schweiz	504	382	445	0
2007 Ausland	113	44	21	0
...
2005 Total	667	401	442	0
2005 Schweiz	508	366	426	0
2005 Ausland	159	35	16	0
....
2003 Total	500	413	584	0
2003 Schweiz	374	367	550	0
2003 Ausland	126	46	34	0
