"Wohnviertel_ID"	"Wohnviertel_Name"	"Median pro Veranlagung in Fr"
1	"Altstadt Grossbasel"	54111.0
2	"Vorstädte"	61105.0
3	"Am Ring"	57458.0
4	"Breite"	46692.5
5	"St. Alban"	62835.0
6	"Gundeldingen"	48888.5
7	"Bruderholz"	67318.0
8	"Bachletten"	59819.5
9	"Gotthelf"	50990.0
10	"Iselin"	44027.0
11	"St. Johann"	42575.0
12	"Altstadt Kleinbasel"	46079.5
13	"Clara"	41171.0
14	"Wettstein"	56933.0
15	"Hirzbrunnen"	52799.0
16	"Rosental"	46965.5
17	"Matthäus"	39613.0
18	"Klybeck"	36813.0
19	"Kleinhüningen"	39587.0
20	"Riehen"	63115.0
30	"Bettingen"	72842.0

