Jahr	Büros zu Wohnungen	(Dachstock-) Ausbauten	Saldo aus Zusammenlegungen/ Aufteilungen	Sonstige Umnutzungen	Zweckentfremdungen von Wohnungen	Umbausaldo
2008	0	3	-2	0	0	1
2009	0	0	-2	0	0	-2
2010	0	0	0	0	0	0
2011	0	1	-9	0	0	-8
2012	0	0	6	0	-1	5
2013	0	2	0	0	0	2
2014	0	2	-2	0	0	0
2015	0	0	0	0	0	0
2016	1	0	4	0	0	5
2017	0	0	0	0	0	0
2018	0	0	0	3	-1	2
2019	80	0	0	0	0	80
2020	0	0	1	1	0	2
2021	0	2	0	1	0	3
2022	0	9	0	157	0	166
2023	0	4	6	0	0	10
