cities	Geburtenrate	Sterberate	time
Basel	8.67547145196563	10.0040854020688	2022-12-31
Bern	9.09048799129166	9.31051254139936	2022-12-31
Genf	10.5394125711939	6.37901217417914	2022-12-31
Lausanne	10.4660841562317	7.23437933528312	2022-12-31
Zürich	9.80448121318273	7.6325143440312	2022-12-31
Frankfurt a. M.	10.42	9.61	2019-01-01
Freiburg i. Br.	10.1	9.3	2019-01-01
Karlsruhe	9.28	10.26	2019-01-01
München	10.87	8.32	2019-01-01
Stuttgart	10.16	9.41	2019-01-01
Lille	11.35	8.34	2022-01-01
Lyon	12.05	7.19	2022-01-01
Metz	9.76	9.72	2022-01-01
Paris	13.01	6.8	2022-01-01
Strassburg	10.24	8.94	2022-01-01
Mailand	6.71	9.97	2023-01-01
Bologna	6.5	11.35	2023-01-01
Lissabon	6.74	10.44	2023-01-01
Porto	6.48	9.73	2023-01-01
Barcelona	6.79	8.38	2023-01-01
Madrid	7.33	6.99	2023-01-01
