"Jahr"	"Nitrat im Grundwasser"	"Category"
1993	57.9	0
1994	52.4	1
1995	57.1	2
1996	54.5	3
1997	47.6	4
1998	57.1	5
1999	33.3	6
2000	63.6	7
2001	65.2	8
2002	63.6	9
2003	59.1	10
2004	45	11
2005	52.2	12
2006	43.5	13
2007	40	14
2008	39.1	15
2009	41.7	16
2010	33.3	17
2011	41.7	18
2012	33.3	19
2013	41.7	20
2014	32	21
2015	29.2	22
2016	36.4	23
2017	19	24
2018	22.7	25
2019	18.2	26
2020	20.8	27
2021	25	28
2022	21	29
2023	22	30
2024	25	31
