"Jahr"	"Freiräume in ha"	"Anteil an der Kantonsfläche (rechte Skala)"
2008	83.99	2.27
2009	83.95	2.27
2010	84.98	2.30
2011	86.53	2.34
2012	85.35	2.31
2013	83.92	2.27
2014	88.50	2.39
2015	88.90	2.41
2016	90.54	2.45
2017	90.09	2.44
2018	89.87	2.43
2019	89.18	2.41
2020	89.28	2.42
2021	89.96	2.43
2022	93.82	2.54
2023	95.74	2.59

