"Migrationsstatus"	"Sekundarstufe I"	"Sekundarstufe II"	"Tertiärstufe"
"Ausländer/-innen"	34256.552553	28041.152643	54197.339819
"Eingebürgerte Schweizer/-innen"	14371.125655	23399.624409	19714.042902
"Schweizer/-innen seit Geburt"	21041.572636	67477.513105	61372.232783

