	Zufuhr	Abfuhr	Gesamt
1980	119	703	822
1981	136	545	681
1982	475	456	931
1983	1589	1453	3042
1984	3162	1196	4358
1985	5441	2323	7764
1986	10073	5244	15317
1987	8807	5759	14566
1988	9665	7669	17334
1989	10681	8395	19076
1990	12182	10012	22194
1991	11032	13386	24418
1992	14119	13750	27869
1993	18149	17382	35531
1994	19552	18332	37884
1995	23010	22012	45022
1996	25520	27548	53068
1997	31674	32348	64022
1998	33321	35339	68660
1999	33110	33672	66782
2000	37774	36414	74188
2001	35695	33023	68718
2002	36367	36064	72431
2003	36082	41905	77987
2004	37840	47414	85254
2005	39748	45183	84931
2006	42596	45434	88030
2007	47955	56411	104366
2008	45326	47138	92464
2009	35347	42938	78285
2010	45347	53701	99048
2011	46342	47029	93371
2012	50291	51949	102240
2013	56929	48016	104945
2014	57226	47256	104482
2015	56262	46654	102916
2016	57226	57272	114498
2017	62196	57035	119231
2018	61623	57510	119133
2019	64719	56647	121366
2020	62157	51918	114075
2021	68999	57043	126042
2022	67012	58458	125470
2023	57028	51690	108718
2024	51746	48286	100032
