"CitYDescr"	"Gesamte Agglomeration"	"Kernstadt"	"Übrige Agglomerationsgemeinden Schweiz"	"Agglomerationsgemeinden Deutschland"	"Agglomerationsgemeinden Frankreich"
Basel	0.48	0.13	0.72	0.78	0.51
Bern	0.89	1	0.73		
Genf	1.47	1.41	1.82		0.63
Lausanne	1.51	1.35	1.65		
Zürich	1.41	1.66	1.15		
