"Kanton"	"2014"	"95% Konfidenzintervall Untergrenze"	"95% Konfidenzintervall Obergrenze"	"2015"	"95% Konfidenzintervall Untergrenze"	"95% Konfidenzintervall Obergrenze"	"2016"	"95% Konfidenzintervall Untergrenze"	"95% Konfidenzintervall Obergrenze"	"2017"	"95% Konfidenzintervall Untergrenze"	"95% Konfidenzintervall Obergrenze"	"2018"	"95% Konfidenzintervall Untergrenze"	"95% Konfidenzintervall Obergrenze"	"2019"	"95% Konfidenzintervall Untergrenze"	"95% Konfidenzintervall Obergrenze"	"2020"	"95% Konfidenzintervall Untergrenze"	"95% Konfidenzintervall Obergrenze"	"2021"	"95% Konfidenzintervall Untergrenze"	"95% Konfidenzintervall Obergrenze"	"2022"	"95% Konfidenzintervall Untergrenze"	"95% Konfidenzintervall Obergrenze"
"Bâle-Ville"	67.7546	65.0639	70.4454	66.4025	63.6346	69.1703	72.7308	70.1247	75.3368	71.7323	69.0925	74.3722	66.3419	63.3947	69.2890	67.7170	64.8975	70.5365	68.7455	66.0752	71.4158	69.9241	67.1727	72.6755	69.9528	67.0319	72.8738
"Bâle-Campagne"	74.3510	72.3886	76.3134	74.9178	73.0083	76.8272	75.5900	73.6135	77.5664	76.7547	74.8813	78.6281	75.2191	73.2702	77.1681	74.0769	72.1330	76.0209	72.9321	70.9785	74.8858	76.4353	74.5162	78.3543	76.5381	74.6657	78.4105
"Jura"	72.0209	69.2430	74.7988	68.8233	64.5839	73.0628	70.1859	66.1309	74.2409	69.8399	65.6798	74.0001	72.5419	68.5042	76.5796	69.2627	65.1322	73.3932	75.0305	71.2593	78.8017	71.6600	67.6611	75.6589	71.4658	67.4291	75.5025
"BS/BL/JU"	71.8209	70.3923	73.2495	71.2795	69.7934	72.7657	73.9187	72.4500	75.3875	74.1774	72.7360	75.6189	71.9849	70.4598	73.5100	71.4319	69.9335	72.9304	71.8550	70.3967	73.3133	73.7346	72.2655	75.2038	73.8109	72.3257	75.2962
"Suisse"	75.3518	75.0243	75.6794	75.3794	75.0445	75.7142	75.6075	75.2763	75.9387	76.5141	76.1883	76.8399	74.7748	74.4344	75.1152	75.4409	75.1072	75.7747	74.8357	74.5181	75.1532	75.7711	75.4472	76.0951	76.2777	75.9573	76.5981

