JAHR	Messe	Erlenmatt
2009	16	4
2010	19	1
2011	30	6
2012	30	5
2013	28	2
2014	31	1
2015	31	10
2016	46	4
2017	46	13
2018	30	13
2019	23	36
2020	35	36
2021	48	20
2022	30	19
