""	"Mittlere jährliche Arbeitslosenquote"	"Monatliche Anzahl Arbeitslose (rechte Skala)"
"2012-01"	0.036975	32
"2012-02"	0.036975	32
"2012-03"	0.036975	30
"2012-04"	0.036975	31
"2012-05"	0.036975	28
"2012-06"	0.036975	29
"2012-07"	0.036975	32
"2012-08"	0.036975	35
"2012-09"	0.036975	35
"2012-10"	0.036975	34
"2012-11"	0.036975	35
"2012-12"	0.036975	34
"2013-01"	0.046243	39
"2013-02"	0.046243	39
"2013-03"	0.046243	38
"2013-04"	0.046243	39
"2013-05"	0.046243	46
"2013-06"	0.046243	39
"2013-07"	0.046243	38
"2013-08"	0.046243	44
"2013-09"	0.046243	39
"2013-10"	0.046243	35
"2013-11"	0.046243	42
"2013-12"	0.046243	46
"2014-01"	0.041083	49
"2014-02"	0.041083	44
"2014-03"	0.041083	37
"2014-04"	0.041083	35
"2014-05"	0.041083	36
"2014-06"	0.041083	36
"2014-07"	0.041083	33
"2014-08"	0.041083	34
"2014-09"	0.041083	37
"2014-10"	0.041083	33
"2014-11"	0.041083	28
"2014-12"	0.041083	28
"2015-01"	0.041657	32
"2015-02"	0.041657	32
"2015-03"	0.041657	39
"2015-04"	0.041657	34
"2015-05"	0.041657	37
"2015-06"	0.041657	37
"2015-07"	0.041657	37
"2015-08"	0.041657	38
"2015-09"	0.041657	36
"2015-10"	0.041657	39
"2015-11"	0.041657	39
"2015-12"	0.041657	36
"2016-01"	0.058950	46
"2016-02"	0.058950	51
"2016-03"	0.058950	60
"2016-04"	0.058950	58
"2016-05"	0.058950	59
"2016-06"	0.058950	55
"2016-07"	0.058950	47
"2016-08"	0.058950	46
"2016-09"	0.058950	45
"2016-10"	0.058950	49
"2016-11"	0.058950	51
"2016-12"	0.058950	50
"2017-01"	0.052262	54
"2017-02"	0.052262	53
"2017-03"	0.052262	52
"2017-04"	0.052262	53
"2017-05"	0.052262	44
"2017-06"	0.052262	47
"2017-07"	0.052262	43
"2017-08"	0.052262	44
"2017-09"	0.052262	39
"2017-10"	0.052262	40
"2017-11"	0.052262	37
"2017-12"	0.052262	41
"2018-01"	0.060670	48
"2018-02"	0.060670	53
"2018-03"	0.060670	58
"2018-04"	0.060670	57
"2018-05"	0.060670	55
"2018-06"	0.060670	51
"2018-07"	0.060670	52
"2018-08"	0.060670	54
"2018-09"	0.060670	54
"2018-10"	0.060670	48
"2018-11"	0.060670	50
"2018-12"	0.060670	55
"2019-01"	0.059045	58
"2019-02"	0.059045	65
"2019-03"	0.059045	63
"2019-04"	0.059045	60
"2019-05"	0.059045	52
"2019-06"	0.059045	50
"2019-07"	0.059045	48
"2019-08"	0.059045	44
"2019-09"	0.059045	44
"2019-10"	0.059045	44
"2019-11"	0.059045	41
"2019-12"	0.059045	49
"2020-01"	0.075956	49
"2020-02"	0.075956	57
"2020-03"	0.075956	60
"2020-04"	0.075956	58
"2020-05"	0.075956	66
"2020-06"	0.075956	72
"2020-07"	0.075956	73
"2020-08"	0.075956	70
"2020-09"	0.075956	71
"2020-10"	0.075956	75
"2020-11"	0.075956	68
"2020-12"	0.075956	76
"2021-01"	0.072804	73
"2021-02"	0.072804	76
"2021-03"	0.072804	76
"2021-04"	0.072804	70
"2021-05"	0.072804	71
"2021-06"	0.072804	71
"2021-07"	0.072804	62
"2021-08"	0.072804	58
"2021-09"	0.072804	50
"2021-10"	0.072804	51
"2021-11"	0.072804	51
"2021-12"	0.072804	53

