Jahr	Theater	Kleintheater	Kinos	Museen	Stadtbibliothek (Ausleihen)
2003	196159	105198	1090236	1197642	1155199
2004	188239	132498	1114338	1745142	1204675
2005	177781	138958	892320	1202959	1201495
2006	158343	166732	935903	1334031	1218110
2007	165188	162132	863737	1399781	1267437
2008	176166	164400	857057	1295366	1269549
2009	178716	169652	873039	1647456	1285704
2010	177988	187338	832990	1279498	1313736
2011	164645	173064	791204	1296334	1325393
2012	165614	181020	822905	1313448	1294856
2013	188838	175289	693523	1336330	1236134
2014	169077	173791	653792	1264238	1162895
2015	166347	159688	663890	1345097	1177925
2016	172013	177301	604681	1374857	1270137
2017	172013	168094	611163	1487910	1249734
2018	180766	154764	533830	1231144	1267264
2019	183705	155718	593467	1441515	1362384
2020	114712	107413	194140	857239	1592518
2021	13286	27883	315467	931336	1810935
2022	148155	107875	539054	1294282	1770286
