Jahr	Mietpreisindex	Index Median Reineinkommen	Bewertung
2010	95.8	97.8	
2011	96.8	98.4	
2012	97.2	98.5	
2013	98.3	99.3	
2014	98.9	99.8	
2015	100	100	
2016	101.6	100.4	
2017	102.8	100.8	
2018	104	101.1	
2019	105.4	101.5	2
2020	106.2	102.1	2
2021	107.4		
2022	108.7		
