Jahr	Reineinkommen	Reinvermögen
1991	0.432	0.937
1992	0.428	0.866
1993	0.428	0.864
1994	0.426	0.869
1995	0.429	0.872
1996	0.443	0.891
1997	0.445	0.901
1998	0.455	0.91
1999	0.459	0.912
2000	0.466	
2001	0.46	0.912
2002	0.45	0.906
2003	0.455	0.911
2004	0.459	0.914
2005	0.471	0.925
2006	0.476	0.928
2007	0.482	0.927
2008	0.502	0.921
2009	0.5	0.923
2010	0.503	0.919
2011	0.494	0.913
2012	0.496	0.916
2013	0.505	0.926
2014	0.513	0.928
2015	0.512	0.920
2016	0.521	0.920
2017	0.516	0.908
2018	0.516	0.909
2019	0.530	0.923
2020	0.533	0.921
