"Alter"	"Männer"	"Frauen"
"15-19"	5.5	6.5
"20-24"	10.4	7.9
"25-29"	8.9	7.3
"30-34"	6.7	5.0
"35-39"	6.3	5.3
"40-44"	6.6	5.1
"45-49"	6.3	4.1
"50-54"	4.7	3.5
"55-59"	4.5	3.5
"60-64"	5.9	3.8

