Jahr,Weiss nicht/Keine Angabe,Sehr unzufrieden,Eher unzufrieden,Eher zufrieden,Sehr zufrieden
2003,48,24,107,135,33
2005,39,12,114,166,35
2007,30,9,74,140,27
2011,37,11,85,140,58
2015,16,16,93,89,23
