""	"Schweiz"	"Ausland"	"Gemischt"
"2011"	7878	4631	1117
"2012"	7957	4755	1141
"2013"	8027	4804	1131
"2014"	7976	4890	1093
"2015"	7705	4862	1069
"2016"	7916	5217	1104
"2017"	7966	5281	1167
"2018"	8102	5397	1200
"2019"	9034	5895	1320

