"Jahr"	"Hohes Szenario"	"Mittleres Szenario"	"Tiefes Szenario"
"2026-2030"	351494	275944	136060
"2031-2035"	351618	237796	117588
"2036-2040"	303676	207319	75050
"2041-2045"	313876	185567	58858
"2046-2050"	316480	180451	53297

