Jahr	Mietwohnungen	Genossenschaftswohnungen	Selbstbewohnte Eigentümerwohnungen	Sonstige Wohnungen	gesamter Wohnungsbestand
2013	72337	10379	14989	578	98283
2014	72010	10386	15042	567	98005
2015	71696	10353	15091	589	97729
2016	71657	10560	15181	603	98001
2017	71560	10579	15144	609	97892
2018	71706	10671	15163	705	98245
2019	72411	10758	15125	754	99048
2020	72553	10834	15181	722	99290
2021	72870	10985	15180	711	99746
2022	73466	11093	15316	738	100613
