	2013	2022
Altstadt GB	8446365	9453268
Vorstädte	23197068	63640169
Am Ring	20338471	13965135
Breite	2610366	3289422
St. Alban	27024813 	35911040
Gundeldingen	5371551 	7808607
Bruderholz	97402511	56289262
Bachletten	14095390	18853275
Gotthelf	14692850	19972994
Iselin	4120336	4458884
St. Johann	5209373	7175071
Altstadt KB	1729874	1967417
Clara	1104903	1669666
Wettstein	4083217	7315194
Hirzbrunnen	3509195	3673656
Rosental	668836	1423106
Matthäus	3900518	5830221
Klybeck	672634	757430
Kleinhüning.	333017	293686
Riehen	38923802	58379590
Bettingen	1814964	11168430
