Alter	BS/BL/JU	Schweiz
15-19	4.653282211	4.982276959
20-24	5.216450333	5.657949235
25-29	6.283108372	6.662604027
30-34	6.908830757	7.097993839
35-39	6.906134452	7.123928569
40-44	6.59749747	6.832244781
45-49	7.003740673	7.263702251
50-54	7.830427616	7.854688738
55-59	7.275887668	7.147639653
60-64	6.151348961	5.89300028
