"JahrBezirk"	"Deutschland"	"Italien"	"Türkei"	"EU-17 + EFTA"	"EU-Ost"	"Balkan"	"Mittel- und Südamerika"	"Arabische Länder"	"Afrikanische Länder"	"Übrige Länder"
"2019: Messe"	353	253	298	497	181	440	74	58	107	392
"2019: Erlenmatt"	320	109	55	274	133	200	26	44	15	388
"."										
"2020: Messe"	360	248	293	527	170	429	73	57	108	343
"2020: Erlenmatt"	331	116	56	296	156	204	28	45	15	413
".."										
"2021: Messe"	395	237	281	534	156	399	76	69	116	352
"2021: Erlenmatt"	335	121	53	289	154	212	27	42	17	404
"..."										
"2022: Messe"	406	229	294	543	165	378	75	71	120	424
"2022: Erlenmatt"	340	119	56	318	164	203	33	41	16	413
"...."										
"2023: Messe"	392	228	276	552	170	372	78	78	129	454
"2023: Erlenmatt"	374	113	63	327	164	185	34	45	18	454

