	Allg. Verwaltung	Öff. Sicherheit	Bildung	Kultur und Sport	Gesundheit	Soziale Sicherheit	Verkehr	Umweltschutz	Volkswirtschaft	Finanzen, Steuern	Total (rechte Skala)	allg_verwaltung_ausg	sicherheit_ausg	bildung_ausg	kultur_sport_ausg	gesundheit_ausg	soziales_ausg	verkehr_ausg	umweltschutz_ausg	Volkswirtschaft_ausg	finanzen_und_steuern_ausg	Bevölkerung
2011	1908.4	1895.1	6332.9	1259	3379.1	4332.4	657.5	501.3	180	1414.5	21860.2	366745287.5	364193524.9	1217027032	241939868.3	649368985.6	832572552.9	126353687.6	96337889.4	34587237.8	271833159.7	192174
2012	1121.5	1996.6	6841.8	1373.3	4588.2	4595.3	922.6	453.1	88.4	1395	23375.7	216327841.7	385150441.5	1319787116	264909416.5	885054140.7	886442054.9	177960925.9	87396975	17048474.8	269099183.5	192900
2013	1269.5	2153	7067.6	1293.1	3108.9	4611.4	1596.2	440	85.5	1738.3	23363.5	247106926.4	419096732.2	1375752299	251703164.2	605162025.3	897636700.7	310715147.6	85640709.9	16641751.5	338362174.1	194655
2014	1448.6	2174.3	7419.3	1486.6	3097.7	4944.7	1287.2	420.3	120.3	1648.7	24047.7	284046194.2	426340831.8	1454823410	291505686.2	607409931.4	969595360	252397039.2	82420632.2	23592402.7	323288102.2	196086
2015	1798.6	2180.9	7784.7	1703.4	3094.4	4587.5	1440.2	464.3	598.2	1523	25175.1	354330997.3	429640206	1533617651	335579795.5	609618962.1	903757332	283722652.2	91464492.8	117843181	300038378	197005
2016	3827	2206.1	8068	1576.1	3132.4	4682.3	1367.7	578.9	93.5	1497.8	27029.8	757458356.5	436645003.8	1596867174	311952256.6	619992806.3	926741782.2	270712609.6	114582452.4	18499365.1	296445803.2	197926
2017	2270.6	2289.8	7703.4	1564.2	2972.2	4750.3	1359	484.5	80.6	1556.7	25031.3	450861716.7	454664180.6	1529615835	310590271.5	590163650.5	943223429.8	269855037.3	96207797.2	16007152.1	309093214.9	198563
2018	1698.8	2295.3	7699.3	1598.5	2920.3	4825.6	1173.4	483.1	118.7	1592.4	24405.4	339544540.8	458762587.6	1538858958	319492075.4	583681732.7	964484715.5	234532370.7	96553276.6	23727599.7	318279005.7	199870
2019	1587.6	2296.2	7617.7	1504	3045	4855.5	1183.2	547.9	186.9	1474.8	24298.9	318036362.5	459970259.4	1525991941	301285021.5	609983763.6	972659684.1	237023559.2	109754340.1	37448138.2	295423430.9	200321
2020	1673.2	2260.5	7654.2	1610	3380	4824.5	1074.7	814.2	222.8	1314.9	24829.1	337202625.4	455558649.8	1542519287	324464503	681168097.8	972274018.4	216587902.1	164073715.1	44909094.3	264985026	201527
2021	1695.6	2343.5	8043.2	1592.9	3450.8	4814.4	1247.2	736.3	1074.7	1299.6	26298.1	341777122.8	472369374.7	1621268275.7	321071325.7	695578251.5	970434131.7	251388031.6	148417020.8	216618880.9	261954122.2	201569
2022	2008.0	2410.2	8052.2	1581	3372.9	5097.7	1508.8	601.3	661.5	1441.4	26734.9	408884629.6	490779773.4	1639659171.2	321928052.8	686823172.2	1038029899.3	307233703.3	122443336.9	134695735.8	293504515.5	203628



