Land	Anteil
Schweiz	0.334936206
Deutschland	0.144316839
Vereinigte Staaten	0.100069829
Vereinigtes Königreich	0.062701003
Frankreich	0.040173911
Italien	0.030934621
Spanien	0.023913126
Niederlande	0.022966155
Indien	0.015393899
China, Hongkong, Taiwan	0.026638829
Übrige Länder	0.197955582
