Jahr	Über Grenzwert am Tag in %	Über Grenzwert in der Nacht in %	 Über 50 dB (A) in der Nacht in %	LaermUeberschrTag	LaermUeberschrNacht	LaermUeberschrNacht50dbA	Mittlere Bevölkerung
2000	13.647516978264	17.165592827705	26.235970175244	25863	32530	49719	189507
2003	15.111481182909	19.591942806228	25.986995629852	28493	36941	48999	188552
2008	14.476412100698	16.164586418447	24.549925957266	27372	30564	46419	189080
