Jahr	Verkehr	pro Kopf	mittlere Bevölkerung
2010	216083.580618298	1.12575193345158	191946
2012	200798.353739938	1.04094532783793	192900
2014	203891.39090172	1.03980595708883	196086
2016	203864.58015912	1.03000404271859	197926
