"CityDescr"	"Gesamte Agglomeration"	"Kernstadt"	"Übrige Agglomerationsgemeinden Schweiz"	"Agglomerationsgemeinden Deutschland"	"Agglomerationsgemeinden Frankreich"
Basel	78.19	76.57	80.17	77.17	76
Bern	84.41	84.87	84.18		
Genf	74.15	70.98	71.56		78.15
Lausanne	76.61	73.97	77.93		
Zürich	82.68	83.16	82.46		
