Jahr	Direkte Steuern natürliche Personen	Direkte Steuern juristische Personen
2006	1460.1	712.7
2007	1513.4	781.6
2008	1556.9	935.2
2009	1511	700.6
2010	1751.4	770.8
2011	1689.4	733.4
2012	1716.5	638.8
2013	1611.7	678.5
2014	1739.1	698.1
2015	1885	734.7
2016	1872	837.1
2017	1808.4	816.9 
2018	1888.9 	748.1
2019	1890.6	1079.7
2020	2002.8	637.4
2021	2001.1	588.2
2022	2124.8	602.3
