Branche	Basel-Stadt	Basel-Landschaft	Zürich
Chemische Industrie	0.180692975339755	0.031734116712234	0.051026630011517
Elektronik, Optik und Maschinenbau	0.145802400513393	0.144146855126489	0.31815194512014
Medizinaltechnik	0.0794592955552733	0.104271368840597	0.0482803337466384
Pharmazeutische Industrie	0.41476682211066	0.164027800810348	0.0272584317351114
 	 	 	 
 	 	 	 
 	 	 	 
 	 	 	 
 	 	 	 
 	 	 	 
