Jahr	Stadt Basel	Riehen	Bettingen	Ausserkantonal	Ausland	Total
2020	882262	125502	5747	24236	29	1037776
2021	836271	118627	5065	28196	28	988187
2022	833832	122710	5559	32097	106	994304
2023	843844	122544	5828	39523	14	1011753
