"Jahr"	"Schweiz"	"Italien"	"Portugal"	"Spanien"	"Türkei"	"Ehemaliges Jugoslawien"
"2003"	8.7	16.7	4.8	12.1	13.3	12.0
"2004"	8.9	16.8	4.6	12.7	14.2	13.2
"2005"	9.0	16.8	5.0	13.5	14.6	13.8
"2006"	9.0	16.5	4.5	13.8	15.0	13.9
"2007"	9.0	16.0	4.3	14.3	16.1	14.8
"2008"	8.9	15.7	4.0	14.5	17.0	16.1
"2009"	9.3	13.9	3.6	13.5	14.2	13.7
"2010"	9.1	13.4	3.7	13.1	13.7	13.6
"2011"	9.1	12.9	3.4	12.0	13.6	13.2
"2012"	8.7	12.2	3.2	10.9	13.2	12.9
"2013"	8.5	10.8	2.9	9.3	12.6	12.2
"2014"	8.3	10.0	2.9	8.3	12.2	11.8
"2015"	8.1	9.2	2.9	7.6	12.0	11.3
"2016"	8.0	8.6	2.8	7.2	12.0	10.6
"2017"	8.0	8.2	2.8	6.3	11.8	10.1
"2018"	7.9	7.9	2.6	5.8	11.6	9.5
"2019"	7.9	7.8	2.8	5.6	11.7	9.5
"2020"	7.6	7.4	2.8	5.3	11.7	9.3
"2021"	7.6	7.0	3.1	4.9	11.7	9.5
"2022"	7.6	6.6	2.9	4.5	11.6	8.8

