"Jahr"	"Abhängigkeitsquotient"
"2011"	57.2
"2012"	57.0
"2013"	56.7
"2014"	56.6
"2015"	56.8
"2016"	56.7
"2017"	56.9
"2018"	56.9
"2019"	56.9
"2020"	56.5

