"Jahr"	"Rosental"	"Rosental 95% Konfidenzintervall Untergrenze"	"Rosental 95% Konfidenzintervall Obergrenze"	"Basel"	"Basel 95% Konfidenzintervall Untergrenze"	"Basel 95% Konfidenzintervall Obergrenze"
1990	0.75034	"."	"."	0.73080	"."	"."
2000	0.71323	"."	"."	0.72945	"."	"."
"2017-2021"	0.69546	0.66018	0.73073	0.72631	0.71943	0.73318

