"Jahr"	"Stromverbrauch Klybeck"	"Stromverbrauch Kleinhüningen"	"Stromverbrauch Basel"
2012	124.307536	35.312384	1545.361385
2014	106.034733	31.070322	1444.927936
2016	102.175747	31.13857	1465.614313
2018	92.700366	29.586254	1343.464532
2020	92.646046	29.586254	1351.913934
