Jahr	Mietwohnungen	Genossenschaftswohnungen	Selbstbewohnte Eigentümerwohnungen	Sonstige Wohnungen	gesamter Wohnungsbestand
2013	72320	10379	14989	578	98283
2014	72007	10386	15042	567	98005
2015	71695	10353	15091	589	97729
2016	71656	10560	15181	603	98001
2017	71559	10579	15144	609	97892
2018	71705	10671	15163	705	98245
2019	72410	10758	15125	754	99048
2020	72552	10834	15181	722	99290

