Jahr	Innenstadt	Stadt Basel	Kanton BS
2013	1182	3733	3915
2014	1170	3576	3717
2015	1180	3595	3735
2016	1268	3809	3983
2017	1209	3905	4045
2018	1335	4226	4380
2019	1355	3998	4147
2020	1328	4615	4846
2021	1306	4409	4636
2022	1158	3958	4166
2023	1196	4177	4337
