jahr	Basler Index	Landesindex
2000	1.3	1.6
2001	0.9	1
2002	0.7	0.6
2003	0.5	0.6
2004	0.9	0.8
2005	1.5	1.2
2006	1.1	1.1
2007	0.5	0.7
2008	2.6	2.4
2009	-0.4	-0.5
2010	0.8	0.7
2011	0.3	0.2
2012	-0.6	-0.7
2013	-0.2	-0.2
2014	0	0
2015	-1.2	-1.1
2016	-0.2	-0.4
2017	0.8	0.5
2018	1.1	0.9
2019	0.5	0.4
2020	-0.6	-0.7
2021	0.6	0.6
2022	2.6	2.8
2023	2.0	2.1
2024	0.9	1.1
