"Jahr"	"Basel-Stadt"	"Basel-Landschaft"	"Leerstandsquote beider Basel (rechte Skala)"
2017	546	809	0.005470
2018	782	1060	0.007368
2019	1124	1492	0.010358
2020	1073	1617	0.010570
2021	1235	1404	0.010263
2022	1328	1353	0.010309
2023	1229	1359	0.009834
2024	897	1087	0.007480
2025	1079	1196	0.008502
2026	912	980	0.007010

