Jahr	Natürlich, naturnah	Wenig beeinträchtigt	Stark beeinträchtigt	Künstlich, naturfremd	Eingedolt
2006	1	4.54	13.19	6.77	9.52
2014	1.98	9.69	11.87	14.63	9.27
