""	"Handel, Reparatur"	"Verkehr, Lagerei, Kommunikation"	"Gastgewerbe"	"IT-Dienstleistungen"
"2013-1"	1679	1314	3736	3210
"2013-2"	1589	1870	6659	3274
"2013-3"	2075	545	3929	2766
"2013-4"	3480	523	6022	3026
"2014-1"	2848	2229	4141	3516
"2014-2"	2374	808	3724	2404
"2014-3"	2306	553	4758	2581
"2014-4"	3810	759	4987	4162
"2015-1"	3214	2303	6613	4180
"2015-2"	2081	1550	4895	3362
"2015-3"	3960	792	4861	3778
"2015-4"	5075	380	6741	4336
"2016-1"	4378	1389	7656	4602
"2016-2"	3253	834	4678	3201
"2016-3"	3565	471	5457	3018
"2016-4"	5235	343	7268	2973
"2017-1"	4119	1041	8320	4411
"2017-2"	3888	722	6532	3411
"2017-3"	3279	819	6334	2621
"2017-4"	4983	400	7592	2567
"2018-1"	3088	438	6743	3515
"2018-2"	3397	516	5552	2326
"2018-3"	3064	708	5928	2046
"2018-4"	5565	2014	7861	2130
"2019-1"	3906	1920	5160	3132
"2019-2"	3017	2621	4785	2812
"2019-3"	3515	5657	6325	2961
"2019-4"	6988	954	7615	3350
"2020-1"	4247	2748	5000	4118
"2020-2"	2024	3781	1832	2222
"2020-3"	1705	1335	2096	1580
"2020-4"	3340	1338	2290	1668
"2021-1"	1931	598	1108	1730
"2021-2"	2537	593	3354	1801
"2021-3"	2815	5587	7654	1528
"2021-4"	5373	2309	10642	1535
"2022-1"	3711	808	4659	1339
"2022-2"	2809	2888	6308	1415
"2022-3"	4599	3667	8599	1679
"2022-4"	6807	1322	10674	1640

