"CityDescr"	"Gesamte Agglomeration"	"Kernstadt"	"Übrige Agglomerationsgemeinden Schweiz"	"Agglomerationsgemeinden Deutschland"	"Agglomerationsgemeinden Frankreich"
Basel	78.35	77.49	78.48	78.3	79.5
Bern	83.3	84.58	82.67		
Genf	76.84	75.45	73.07		81.11
Lausanne	77.22	76.69	77.48		
Zürich	82.5	84	81.83		
