"WohnviertelId"	"Wohnviertel"	"Saldo"	"Wanderung"	"Umzug"
1	"Altstadt Grossbasel"	-0.1539	0.6156	-0.7695
2	"Vorstädte"	0.4189	1.9749	-1.5560
3	"Am Ring"	2.0082	2.4262	-0.4180
4	"Breite"	0.8788	0.2336	0.6452
5	"St. Alban"	3.7281	2.0721	1.6560
6	"Gundeldingen"	-0.8520	0.0426	-0.8946
7	"Bruderholz"	1.0260	-0.4702	1.4962
8	"Bachletten"	0.1477	-0.4282	0.5759
9	"Gotthelf"	0.2884	0.3172	-0.0288
10	"Iselin"	-0.0765	-0.1648	0.0883
11	"St. Johann"	-0.3586	-0.1659	-0.1927
12	"Altstadt Kleinbasel"	-0.4499	-0.7362	0.2863
13	"Clara"	-0.4410	0.6124	-1.0534
14	"Wettstein"	-0.3417	1.2950	-1.6367
15	"Hirzbrunnen"	0.3733	-0.5439	0.9171
16	"Rosental"	2.0029	2.3830	-0.3801
17	"Matthäus"	-1.5912	0.1209	-1.7122
18	"Klybeck"	-0.0274	0.6856	-0.7130
19	"Kleinhüningen"	0.2099	-0.5248	0.7348
20	"Riehen"	0.6434	-0.4010	1.0444
30	"Bettingen"	2.3908	1.4839	0.9068

