Jahr,Schweiz,Ausland,Deutschland,Italien,Spanien,Türkei,Ehem. Jugoslawien ohne SLO
2006,45.7,15.3,62.7,13.5,16.0,6.8,9.9
2007,45.6,18.3,65.5,11.0,20.0,12.2,10.7
2008,46.1,20.6,70.8,15.1,16.2,11.4,13.4
2009,47.3,20.5,71.9,18.1,2.4,12.3,12.0
2010,48.0,24.5,69.8,22.5,19.5,13.5,12.9
2011,48.4,22.9,67.5,16.0,21.2,9.4,13.7
2012,46.9,20.7,65.9,12.5,23.7,9.7,8.9
2013,46.0,21.3,64.3,10.8,21.9,8.8,13.0
2014,46.5,24.6,55.3,18.6,27.5,11.5,13.1
2015,46.8,23.1,55.8,20.4,9.8,11.4,12.0
