Jahr	Wohnen Messe	Wohnen Erlenmatt	Arbeiten Messe	Arbeiten Erlenmatt
1995	210472	9935	504320	37630
...
2005	241070	9935	526278	34760
2010	238879	17944	526248	55371
2015	240341	87609	526248	55371
2020	220128	151294	492555	85409
2021	220127	151295	491932	85408
2022	219729	158135	479217	87118
