JAHR	Pestalozzi	Kannenfeld	Landskron	Lysbüchel	Friedmattviertel
2009	29	8	47	16	34
2010	24	2	27	43	32
2011	27	9	40	23	36
2012	45	19	78	59	54
2013	32	15	77	37	47
2014	31	10	40	28	45
2015	28	16	39	32	45
2016	23	17	64	37	45
2017	39	7	75	31	40
2018	28	10	35	16	33
2019	14	11	47	17	21
2020	19	5	37	14	25
2021	35	28	84	34	48
2022	30	16	37	41	39
