"jahr"	"Energieeffizienz (BIP/Bruttoenergieverbrauch)"	"Energieverbrauch pro Einwohner"
1995	88.934540319	96.663099903
2000	100	100
2004	123.60711638	99.984562135
2010	166.32789206	88.873670317
2012	186.7053159	82.17931218
2014	205.23479513	74.227015183
2016	215.22953247	73.702711124
2018	249.62733853	68.804270301
