Klassen	 Veranlagungen	 Summe Vermögenssteuer
0	81655	0
1 bis 199 999	15250	4195241
200 000 bis 499 999	8008	11066449
500 000 bis 999 999	5228	18259103
1 bis 1,999 Mio.	3673	27556002
2 Mio. u.m.	3374	280888741
Total	117188	341965536


