"Jahr"	"Männer"	"Männer 95% Vertrauensintervall Untergrenze"	"Männer 95% Vertrauensintervall Obergrenze"	"Frauen"	"Frauen 95% Vertrauensintervall Untergrenze"	"Frauen 95% Vertrauensintervall Obergrenze"	"Total"	"Total 95% Vertrauensintervall Untergrenze"	"Total 95% Vertrauensintervall Obergrenze"
2004	16.7115	15.4626	17.9604	31.2667	29.5167	33.0167	24.1790	23.0145	25.3434
2007	17.9521	16.4050	19.4992	30.5327	28.5794	32.4860	24.4526	23.1308	25.7744
2010	16.1639	14.0596	18.2682	25.4888	22.9452	28.0323	20.7850	19.0753	22.4948
2013	17.5498	15.3549	19.7446	27.0832	24.1619	30.0044	22.7362	20.7992	24.6732
2016	18.4965	16.0735	20.9195	27.6633	24.8621	30.4646	23.4174	21.5144	25.3203
2020	19.7875	17.5945	21.9805	31.1178	28.3204	33.9153	25.7917	23.9401	27.6433

