"Pers_Alter"	"2003"	"2013"	"2023"
"0"	41.7	42.7	40.5
"1"	44.4	42.7	38.9
"2"	43.2	43.9	44.1
"3"	43.8	42.5	40.3
"4"	43.7	40.6	41.0
"5"	42.4	40.6	42.2
"6"	43.5	41.3	41.6
"7"	37.9	38.4	43.1
"8"	39.6	39.9	40.8
"9"	39.4	38.7	41.8
"10"	35.9	37.4	42.7
"11"	36.5	37.6	40.8
"12"	37.0	36.0	40.7
"13"	35.8	37.1	37.5
"14"	34.3	33.9	35.9
"15"	33.2	32.4	34.2
"16"	31.0	31.8	34.9
"17"	33.6	27.6	33.5
"18"	35.0	30.0	30.6
"19"	33.2	29.5	31.9
"20"	31.4	27.4	29.4
"21"	32.7	27.3	28.2
"22"	35.9	28.0	29.5
"23"	37.8	31.7	31.6
"24"	36.4	33.6	36.2
"25"	40.8	35.9	38.1
"26"	42.8	42.4	43.1
"27"	44.6	43.2	42.8
"28"	47.1	47.6	46.0
"29"	49.1	48.9	47.1
"30"	46.8	50.5	49.3
"31"	46.5	52.0	49.8
"32"	45.2	55.0	49.6
"33"	44.7	57.0	52.1
"34"	43.1	55.5	53.0
"35"	41.4	56.9	54.3
"36"	41.4	56.4	54.7
"37"	41.2	55.5	55.8
"38"	38.3	55.6	55.6
"39"	37.0	55.3	53.4
"40"	35.7	52.5	54.2
"41"	36.9	50.5	52.6
"42"	35.6	47.3	54.0
"43"	33.7	47.6	54.7
"44"	31.2	44.3	53.3
"45"	31.5	42.5	52.8
"46"	30.0	41.5	50.7
"47"	31.3	40.3	49.5
"48"	30.4	37.1	50.9
"49"	28.5	36.5	49.5
"50"	27.5	34.1	46.9
"51"	28.2	35.5	44.0
"52"	26.0	33.5	42.8
"53"	26.0	31.2	43.3
"54"	26.4	29.0	39.6
"55"	26.4	28.2	39.9
"56"	24.2	27.6	37.2
"57"	23.5	29.0	34.4
"58"	20.1	27.3	32.4
"59"	21.7	25.9	32.9
"60"	19.9	25.0	30.8
"61"	20.7	25.1	32.5
"62"	19.3	22.7	28.3
"63"	22.7	22.0	27.1
"64"	20.0	22.4	25.5
"65"	19.3	21.6	23.0
"66"	16.6	19.9	21.4
"67"	13.9	18.1	23.4
"68"	14.2	15.8	21.8
"69"	12.7	17.0	22.8
"70"	11.5	16.3	21.4
"71"	9.8	16.0	18.5
"72"	8.5	15.0	18.9
"73"	7.9	18.4	18.6
"74"	8.7	16.1	17.7
"75"	6.5	16.4	18.1
"76"	7.0	14.3	17.0
"77"	5.7	12.9	15.8
"78"	5.5	13.1	13.0
"79"	5.1	11.2	14.0
"80"	4.9	10.1	14.3
"81"	3.0	8.0	14.6
"82"	4.6	7.3	14.4
"83"	4.1	6.3	16.4
"84"	4.7	7.1	15.1
"85"	2.4	5.8	14.8
"86"	1.7	5.6	12.8
"87"	2.5	4.9	10.9
"88"	2.9	4.9	10.7
"89"	2.7	4.7	9.4
"90"	2.7	3.4	8.1
"91"	2.0	2.4	5.7
"92"	0.8	4.1	8.1
"93"	3.1	4.5	6.2
"94"	1.1	2.3	8.2
"95 u.m."	3.0	1.9	5.9
