"Monat"	"2020"	"2021"	"2022"	"2023"	"2024"
"Jan"	100.4	100.1	101.5	104.6	105.7
"Feb"	100.5	100.2	102.0	105.3	106.2
"Mrz"	100.6	100.5	102.6	105.5	106.3
"Apr"	100.2	100.8	103.0	105.4	106.6
"Mai"	100.4	101.0	103.7	105.7	107.0
"Jun"	100.4	101.1	104.1	105.8	107.1
"Jul"	100.2	100.9	104.0	105.6	106.9
"Aug"	100.3	101.2	104.2	105.8	106.9
"Sep"	100.3	101.1	104.0	105.7	106.5
"Okt"	100.3	101.4	104.3	105.8
"Nov"	100.1	101.4	104.4	105.6
"Dez"	100.0	101.3	104.2	105.7

