	 Gymnasien und andere Schulen für Allgemeinbildung	 Berufliche Grundbildung	 Tertiärstufe	 Übrige weiterführende Ausbildungen
2012	497	801	737	7
2013	538	717	713	15
2014	534	761	754	14
2015	510	792	779	16
2016	499	799	751	13
2017	511	752	729	12
2018	548	779	693	10
2019	568	820	695	13
2020	577	803	686	12
2021	560	783	662	10
2022	574	712	659	8
2023	524	684	662	7

