"Jahr"	"Effektiv"	"Hohes Szenario"	"Mittleres Szenario"	"Tiefes Szenario"
"1985"	202113	""	""	""
"1986"	199945	""	""	""
"1987"	198515	""	""	""
"1988"	196752	""	""	""
"1989"	196036	""	""	""
"1990"	196699	""	""	""
"1991"	197987	""	""	""
"1992"	198609	""	""	""
"1993"	199570	""	""	""
"1994"	199004	""	""	""
"1995"	198128	""	""	""
"1996"	196647	""	""	""
"1997"	194268	""	""	""
"1998"	192192	""	""	""
"1999"	190247	""	""	""
"2000"	188151	""	""	""
"2001"	187436	""	""	""
"2002"	188085	""	""	""
"2003"	188079	""	""	""
"2004"	188478	""	""	""
"2005"	187463	""	""	""
"2006"	187368	""	""	""
"2007"	187684	""	""	""
"2008"	189274	""	""	""
"2009"	190045	""	""	""
"2010"	190333	""	""	""
"2011"	192076	""	""	""
"2012"	193459	""	""	""
"2013"	195459	""	""	""
"2014"	196471	""	""	""
"2015"	197204	""	""	""
"2016"	198206	""	""	""
"2017"	198988	""	""	""
"2018"	200256	""	""	""
"2019"	200682	""	""	""
"2020"	201971	""	""	""
"2021"	201805	""	""	""
"2022"	""	202955	202028	200912
"2023"	""	204734	202768	200438
"2024"	""	206777	203670	200047
"2025"	""	209061	204704	199719
"2026"	""	211553	205839	199426
"2027"	""	214207	207036	199139
"2028"	""	216956	208252	198833
"2029"	""	219730	209449	198488
"2030"	""	222463	210592	198094
"2031"	""	225104	211658	197647
"2032"	""	227629	212638	197151
"2033"	""	230036	213535	196617
"2034"	""	232343	214360	196055
"2035"	""	234575	215131	195479
"2036"	""	236761	215864	194900
"2037"	""	238926	216573	194324
"2038"	""	241085	217267	193755
"2039"	""	243251	217955	193193
"2040"	""	245426	218638	192637
"2041"	""	247612	219319	192086
"2042"	""	249808	219998	191536
"2043"	""	252013	220675	190988
"2044"	""	254226	221350	190441
"2045"	""	256446	222022	189894

