Jahr	Gesamtumschlag
2012	7210.5
2013/2012	-380.9
2014/2013	-847.6
2015/2014	351.7
2016/2015	-437.3
2017/2016	-106.3
2018/2017	-1092.2
2019/2018	1367.3
2020/2019	-938.5
2021/2020	280.5
2021	5407.3
