Alter	BS/BL/JU	Schweiz
15-19	4.54491327661374	4.84341598282875
20-24	5.02922770953931	5.39665040621752
25-29	6.0038993976728	6.3639237967815
30-34	6.83763114257328	7.16831424392688
35-39	7.05908280621558	7.19244801712273
40-44	6.76707230592321	6.98213288314139
45-49	6.63466340591237	6.81312781138718
50-54	7.24250023549234	7.37725619024417
55-59	7.57841006236548	7.49908082250737
60-64	6.50189904576727	6.25182591047205




