	Sehr zufrieden	Eher zufrieden	Eher unzufrieden	Sehr unzufrieden	Weiss nicht	Keine Angabe
2003	277	891	278	26	20	0
2005	304	923	234	34	15	0
2007	227	892	329	39	18	0
2011	464	724	265	52	9	1
2015	317	831	287	53	12	0
2019	695	976	216	66	26	78
