Jahr	Institutionen	Plätze (rechte Skala)
2011	33	2761
2012	34	2836
2013	33	2796
2014	34	3029
2015	36	3068
2016	35	3058
2017	40	3287
2018	39	3236
2019	39	3225
2020	39	3268
2021	39	3209
2022	39	3191
