Jahr	Anzahl Genossenschaftswohnungen St.Johann	Anzahl Genossenschaftswohnungen Pestalozzi	Anzahl Genossenschaftswohnungen Kannenfeld	Anzahl Genossenschaftswohnungen Landskron	Anzahl Genossenschaftswohnungen Lysbüchel	Anzahl Genossenschaftswohnungen Friedmatt	Anteil am Bestand St. Johann (rechte Skala)	Anteil am Bestand Pestalozzi (rechte Skala)	Anteil am Bestand Kannenfeld (rechte Skala)	Anteil am Bestand Landskron (rechte Skala)	Anteil am Bestand Lysbüchel (rechte Skala)	Anteil am Bestand Friedmatt (rechte Skala)	Gesamter Wohnungsbestand St.Johann	Gesamter Wohnungsbestand Pestalozzi	Gesamter Wohnungsbestand Kannenfeld	Gesamter Wohnungsbestand Landskron	Gesamter Wohnungsbestand Lysbüchel	Gesamter Wohnungsbestand Friedmatt
2013	590	87	0	126	29	348	6.4	4.3	0.0	3.5	2.9	21.2	9215	2044	993	3552	985	1641
2014	594	87	0	127	29	351	6.5	4.2	0.0	3.6	3.0	21.7	9152	2051	994	3525	962	1620
2015	625	85	0	170	28	342	6.9	4.2	0.0	4.8	2.9	21.3	9044	2012	958	3507	964	1603
2016	682	91	0	179	26	386	7.6	4.6	0.0	5.2	2.7	24.0	8974	1992	968	3450	956	1608
2017	684	91	0	178	27	388	7.7	4.6	0.0	5.2	2.9	24.4	8879	1977	962	3414	933	1593
2018	681	90	0	177	34	380	7.7	4.5	0.0	5.2	3.7	23.9	8879	2006	959	3413	912	1589
2019	680	89	0	179	31	381	7.7	4.4	0.0	5.3	3.4	24.0	8863	2018	960	3379	918	1588
2020	688	95	0	173	31	389	7.7	4.7	0.0	5.1	3.4	24.5	8907	2027	972	3393	924	1591
2021	832	94	0	179	69	490	9.2	4.6	0.0	5.3	7.2	29.2	9006	2038	954	3381	955	1678
2022	912	93	0	179	128	512	9.9	4.6	0.0	5.2	11.6	30.1	9229	2032	957	3434	1103	1703
2023	931	94	0	181	146	510	10.1	4.7	0.0	5.3	12.1	29.9	9249	2000	945	3388	1208	1708
