Jahr	Anzahl Besucher
2002	1240842
2003	1197642
2004	1745142
2005	1202959
2006	1334031
2007	1399781
2008	1295366
2009	1647456
2010	1279498
2011	1296334
2012	1313448
2013	1336330
2014	1264238
2015	1345097
