Schuljahr	Klybeck	Kleinhüningen	Stadt Basel
2014	18.029739777	22.666666667	45.680559908
2015	15.873015873	22.457627119	45.591202583
2016	16.216216216	20.661157025	46.125607699
2017	15.719063545	23.008849558	46.255080317
2018	17.171717172	23.348017621	46.232779097
2019	18.181818182	22.966507177	46.569220743
