"Staatsangehörigkeit"	"Mittelwert 2013"	"2022"
"Schweiz"	64210	71061
"Deutschland"	91183	96613
"Italien"	56822	69439
"Türkei"	36187	40601
"EU-West + EFTA + UK"	101426	109236
"EU-Ost"	62480	88021
"Balkan"	42748	48167
"Mittel- und Südamerika"	51697	71537
"Arabische Länder"	39043	50736
"Afrikanische Länder"	32580	43841
"Übrige Länder"	124336	173568

