""	"BS"	"BL"	"AG"	"ZH"
"2010-1"	30866	18262	10383	5980
"2010-2"	31556	18570	10754	6220
"2010-3"	31607	18564	10902	6337
"2010-4"	31090	18321	10700	6371
"2011-1"	30953	18459	10827	6511
"2011-2"	31352	18681	11030	6739
"2011-3"	31869	18895	11300	6922
"2011-4"	31928	18694	11337	7046
"2012-1"	31997	18733	11572	7253
"2012-2"	32575	18967	11856	7461
"2012-3"	32951	19025	12088	7683
"2012-4"	32800	18864	12079	7725
"2013-1"	32863	18673	12166	7936
"2013-2"	33403	18909	12423	8173
"2013-3"	33774	19039	12621	8380
"2013-4"	33603	19163	12718	8409
"2014-1"	33678	19240	12814	8554
"2014-2"	34252	19531	13037	8716
"2014-3"	34682	19841	13270	8850
"2014-4"	34535	19792	13241	8900
"2015-1"	34615	19892	13233	9025
"2015-2"	35071	20238	13327	9192
"2015-3"	35278	20464	13589	9351
"2015-4"	34948	20462	13536	9365
"2016-1"	35284	20420	13690	9564
"2016-2"	35743	20623	13932	9637
"2016-3"	35933	20810	14020	9794
"2016-4"	35739	20691	13970	9836
"2017-1"	35324	20679	13880	9875
"2017-2"	35738	20923	14026	10041
"2017-3"	35968	21362	14139	10165
"2017-4"	35656	21348	14148	10128
"2018-1"	34836	21335	13879	10170
"2018-2"	34538	21519	13650	10204
"2018-3"	34196	21609	13551	10209
"2018-4"	33897	21589	13601	10200
"2019-1"	33715	21698	13599	10199
"2019-2"	33643	21820	13677	10305
"2019-3"	33784	22141	13789	10342
"2019-4"	33932	22319	13916	10405

