Antwort,Sehr sicher,Eher sicher,Eher unsicher,Ganz unsicher,Geht nachts nie raus,Weiss nicht /<br/>keine Angabe
2003<br/>(N=1497),33.7,36.2,16.6,5.8,7.7,0
2005<br/>(N=1510),34.2,35.5,16.9,6,7.4,0
2007<br/>(N=1509),29.8,37.4,18.9,6,7.9,0
2011<br/>(N=1516),28.8,34.8,23.3,7.1,6.1,0.1
2015<br/>(N=1506),24.5,37.9,22.2,7.4,7.9,0.1
